Sequence,Potential_V,Current_A
423,0.223,2.758e-05
424,0.224,2.812e-05
425,0.225,2.867e-05
426,0.226,2.922e-05
427,0.227,2.979e-05
428,0.228,3.036e-05
429,0.229,3.093e-05
430,0.23,3.15e-05
431,0.231,3.207e-05
432,0.232,3.264e-05
433,0.233,3.321e-05
434,0.234,3.379e-05
435,0.235,3.437e-05
436,0.236,3.496e-05
437,0.237,3.555e-05
438,0.238,3.613e-05
439,0.239,3.671e-05
440,0.24,3.729e-05
441,0.241,3.787e-05
442,0.242,3.846e-05
443,0.243,3.905e-05
444,0.244,3.964e-05
445,0.245,4.023e-05
446,0.246,4.082e-05
447,0.247,4.142e-05
448,0.248,4.202e-05
449,0.249,4.263e-05
450,0.25,4.325e-05
451,0.251,4.386e-05
452,0.252,4.448e-05
453,0.253,4.509e-05
454,0.254,4.571e-05
455,0.255,4.632e-05
456,0.256,4.693e-05
457,0.257,4.753e-05
458,0.258,4.814e-05
459,0.259,4.875e-05
460,0.26,4.937e-05
461,0.261,4.999e-05
462,0.262,5.061e-05
463,0.263,5.123e-05
464,0.264,5.185e-05
465,0.265,5.247e-05
466,0.266,5.309e-05
467,0.267,5.371e-05
468,0.268,5.434e-05
469,0.269,5.497e-05
470,0.27,5.559e-05
471,0.271,5.62e-05
472,0.272,5.68e-05
473,0.273,5.741e-05
474,0.274,5.802e-05
475,0.275,5.863e-05
476,0.276,5.925e-05
477,0.277,5.987e-05
478,0.278,6.048e-05
479,0.279,6.109e-05
480,0.28,6.17e-05
481,0.281,6.231e-05
482,0.282,6.293e-05
483,0.283,6.355e-05
484,0.284,6.417e-05
485,0.285,6.478e-05
486,0.286,6.539e-05
487,0.287,6.6e-05
488,0.288,6.66e-05
489,0.289,6.721e-05
490,0.29,6.781e-05
491,0.291,6.842e-05
492,0.292,6.902e-05
493,0.293,6.962e-05
494,0.294,7.022e-05
495,0.295,7.081e-05
496,0.296,7.14e-05
497,0.297,7.198e-05
498,0.298,7.257e-05
499,0.299,7.316e-05
500,0.3,7.375e-05
501,0.301,7.433e-05
502,0.302,7.49e-05
503,0.303,7.547e-05
504,0.304,7.603e-05
505,0.305,7.66e-05
506,0.306,7.716e-05
507,0.307,7.772e-05
508,0.308,7.827e-05
509,0.309,7.88e-05
510,0.31,7.931e-05
511,0.311,7.983e-05
512,0.312,8.035e-05
513,0.313,8.088e-05
514,0.314,8.142e-05
515,0.315,8.196e-05
516,0.316,8.249e-05
517,0.317,8.301e-05
518,0.318,8.353e-05
519,0.319,8.404e-05
520,0.32,8.455e-05
521,0.321,8.504e-05
522,0.322,8.554e-05
523,0.323,8.602e-05
524,0.324,8.651e-05
525,0.325,8.7e-05
526,0.326,8.749e-05
527,0.327,8.797e-05
528,0.328,8.844e-05
529,0.329,8.891e-05
530,0.33,8.936e-05
531,0.331,8.982e-05
532,0.332,9.026e-05
533,0.333,9.069e-05
534,0.334,9.112e-05
535,0.335,9.155e-05
536,0.336,9.199e-05
537,0.337,9.241e-05
538,0.338,9.283e-05
539,0.339,9.324e-05
540,0.34,9.364e-05
541,0.341,9.404e-05
542,0.342,9.444e-05
543,0.343,9.483e-05
544,0.344,9.52e-05
545,0.345,9.557e-05
546,0.346,9.593e-05
547,0.347,9.629e-05
548,0.348,9.665e-05
549,0.349,9.702e-05
550,0.35,9.737e-05
551,0.351,9.771e-05
552,0.352,9.803e-05
553,0.353,9.835e-05
554,0.354,9.866e-05
555,0.355,9.897e-05
556,0.356,9.927e-05
557,0.357,9.957e-05
558,0.358,9.986e-05
559,0.359,0.0001001
560,0.36,0.0001004
561,0.361,0.0001007
562,0.362,0.0001009
563,0.363,0.0001012
564,0.364,0.0001015
565,0.365,0.0001017
566,0.366,0.000102
567,0.367,0.0001022
568,0.368,0.0001025
569,0.369,0.0001027
570,0.37,0.0001029
571,0.371,0.0001031
572,0.372,0.0001033
