Sequence,Potential_V,Current_A
939,0.739,5.891e-05
940,0.74,5.884e-05
941,0.741,5.876e-05
942,0.742,5.868e-05
943,0.743,5.861e-05
944,0.744,5.853e-05
945,0.745,5.846e-05
946,0.746,5.839e-05
947,0.747,5.832e-05
948,0.748,5.825e-05
949,0.749,5.818e-05
950,0.75,5.811e-05
951,0.751,5.803e-05
952,0.752,5.796e-05
953,0.753,5.788e-05
954,0.754,5.78e-05
955,0.755,5.772e-05
956,0.756,5.763e-05
957,0.757,5.754e-05
958,0.758,5.745e-05
959,0.759,5.737e-05
960,0.76,5.729e-05
961,0.761,5.722e-05
962,0.762,5.715e-05
963,0.763,5.709e-05
964,0.764,5.703e-05
965,0.765,5.697e-05
966,0.766,5.691e-05
967,0.767,5.685e-05
968,0.768,5.678e-05
969,0.769,5.671e-05
970,0.77,5.665e-05
971,0.771,5.658e-05
972,0.772,5.651e-05
973,0.773,5.645e-05
974,0.774,5.638e-05
975,0.775,5.631e-05
976,0.776,5.625e-05
977,0.777,5.618e-05
978,0.778,5.611e-05
979,0.779,5.605e-05
980,0.78,5.598e-05
981,0.781,5.592e-05
982,0.782,5.586e-05
983,0.783,5.579e-05
984,0.784,5.573e-05
985,0.785,5.567e-05
986,0.786,5.561e-05
987,0.787,5.554e-05
988,0.788,5.547e-05
989,0.789,5.541e-05
990,0.79,5.534e-05
991,0.791,5.527e-05
992,0.792,5.521e-05
993,0.793,5.514e-05
994,0.794,5.507e-05
995,0.795,5.5e-05
996,0.796,5.493e-05
997,0.797,5.487e-05
998,0.798,5.48e-05
999,0.799,5.473e-05
1000,0.8,5.459e-05
1001,0.799,5.445e-05
1002,0.798,5.432e-05
1003,0.797,5.42e-05
1004,0.796,5.409e-05
1005,0.795,5.4e-05
1006,0.794,5.391e-05
1007,0.793,5.382e-05
1008,0.792,5.373e-05
1009,0.791,5.364e-05
1010,0.79,5.356e-05
1011,0.789,5.347e-05
1012,0.788,5.339e-05
1013,0.787,5.331e-05
1014,0.786,5.324e-05
1015,0.785,5.316e-05
1016,0.784,5.308e-05
1017,0.783,5.299e-05
1018,0.782,5.291e-05
1019,0.781,5.282e-05
1020,0.78,5.273e-05
1021,0.779,5.264e-05
1022,0.778,5.255e-05
1023,0.777,5.247e-05
1024,0.776,5.239e-05
1025,0.775,5.232e-05
1026,0.774,5.225e-05
1027,0.773,5.218e-05
1028,0.772,5.212e-05
1029,0.771,5.207e-05
1030,0.77,5.2e-05
1031,0.769,5.194e-05
1032,0.768,5.187e-05
1033,0.767,5.181e-05
1034,0.766,5.174e-05
1035,0.765,5.167e-05
1036,0.764,5.16e-05
1037,0.763,5.154e-05
1038,0.762,5.147e-05
1039,0.761,5.141e-05
1040,0.76,5.134e-05
1041,0.759,5.128e-05
1042,0.758,5.121e-05
