Sequence,Potential_V,Current_A
296,0.096,-2.146e-05
297,0.097,-2.121e-05
298,0.098,-2.096e-05
299,0.099,-2.07e-05
300,0.1,-2.041e-05
301,0.101,-2.01e-05
302,0.102,-1.979e-05
303,0.103,-1.949e-05
304,0.104,-1.918e-05
305,0.105,-1.888e-05
306,0.106,-1.857e-05
307,0.107,-1.825e-05
308,0.108,-1.793e-05
309,0.109,-1.758e-05
310,0.11,-1.724e-05
311,0.111,-1.689e-05
312,0.112,-1.653e-05
313,0.113,-1.617e-05
314,0.114,-1.58e-05
315,0.115,-1.541e-05
316,0.116,-1.501e-05
317,0.117,-1.46e-05
318,0.118,-1.42e-05
319,0.119,-1.379e-05
320,0.12,-1.337e-05
321,0.121,-1.294e-05
322,0.122,-1.251e-05
323,0.123,-1.206e-05
324,0.124,-1.161e-05
325,0.125,-1.115e-05
326,0.126,-1.067e-05
327,0.127,-1.018e-05
328,0.128,-9.676e-06
329,0.129,-9.169e-06
330,0.13,-8.653e-06
331,0.131,-8.13e-06
332,0.132,-7.598e-06
333,0.133,-7.057e-06
334,0.134,-6.509e-06
335,0.135,-5.949e-06
336,0.136,-5.373e-06
337,0.137,-4.786e-06
338,0.138,-4.188e-06
339,0.139,-3.581e-06
340,0.14,-2.97e-06
341,0.141,-2.352e-06
342,0.142,-1.719e-06
343,0.143,-1.071e-06
344,0.144,-4.06e-07
345,0.145,2.719e-07
346,0.146,9.513e-07
347,0.147,1.631e-06
348,0.148,2.318e-06
349,0.149,3.015e-06
350,0.15,3.73e-06
351,0.151,4.47e-06
352,0.152,5.226e-06
353,0.153,5.99e-06
354,0.154,6.767e-06
355,0.155,7.548e-06
356,0.156,8.338e-06
357,0.157,9.152e-06
358,0.158,9.976e-06
359,0.159,1.081e-05
360,0.16,1.165e-05
361,0.161,1.25e-05
362,0.162,1.337e-05
363,0.163,1.426e-05
364,0.164,1.516e-05
365,0.165,1.605e-05
366,0.166,1.695e-05
367,0.167,1.786e-05
368,0.168,1.879e-05
369,0.169,1.973e-05
370,0.17,2.068e-05
371,0.171,2.165e-05
372,0.172,2.262e-05
373,0.173,2.361e-05
374,0.174,2.462e-05
375,0.175,2.562e-05
376,0.176,2.663e-05
377,0.177,2.764e-05
378,0.178,2.866e-05
379,0.179,2.97e-05
380,0.18,3.075e-05
381,0.181,3.182e-05
382,0.182,3.289e-05
383,0.183,3.397e-05
