Sequence,Potential_V,Current_A
383,0.183,5.718e-05
384,0.184,5.867e-05
385,0.185,6.017e-05
386,0.186,6.168e-05
387,0.187,6.321e-05
388,0.188,6.475e-05
389,0.189,6.628e-05
390,0.19,6.783e-05
391,0.191,6.938e-05
392,0.192,7.093e-05
393,0.193,7.25e-05
394,0.194,7.407e-05
395,0.195,7.564e-05
396,0.196,7.72e-05
397,0.197,7.877e-05
398,0.198,8.033e-05
399,0.199,8.191e-05
400,0.2,8.35e-05
401,0.201,8.509e-05
402,0.202,8.67e-05
403,0.203,8.832e-05
404,0.204,8.997e-05
405,0.205,9.163e-05
406,0.206,9.327e-05
407,0.207,9.486e-05
408,0.208,9.642e-05
409,0.209,9.796e-05
410,0.21,9.95e-05
411,0.211,0.0001011
412,0.212,0.0001026
413,0.213,0.0001042
414,0.214,0.0001057
415,0.215,0.0001073
416,0.216,0.0001088
417,0.217,0.0001103
418,0.218,0.0001118
419,0.219,0.0001133
420,0.22,0.0001148
421,0.221,0.0001163
422,0.222,0.0001178
423,0.223,0.0001192
424,0.224,0.0001207
425,0.225,0.0001221
426,0.226,0.0001235
427,0.227,0.0001249
428,0.228,0.0001263
429,0.229,0.0001277
430,0.23,0.000129
431,0.231,0.0001303
432,0.232,0.0001316
433,0.233,0.0001329
434,0.234,0.0001342
435,0.235,0.0001354
436,0.236,0.0001367
437,0.237,0.0001378
438,0.238,0.000139
439,0.239,0.0001402
440,0.24,0.0001413
441,0.241,0.0001424
442,0.242,0.0001435
443,0.243,0.0001446
444,0.244,0.0001456
445,0.245,0.0001466
446,0.246,0.0001476
447,0.247,0.0001485
448,0.248,0.0001495
449,0.249,0.0001504
450,0.25,0.0001513
451,0.251,0.0001521
452,0.252,0.000153
453,0.253,0.0001537
454,0.254,0.0001545
455,0.255,0.0001552
456,0.256,0.0001559
457,0.257,0.0001566
458,0.258,0.0001572
459,0.259,0.0001578
460,0.26,0.0001584
461,0.261,0.0001589
462,0.262,0.0001595
463,0.263,0.00016
464,0.264,0.0001604
465,0.265,0.0001609
466,0.266,0.0001613
467,0.267,0.0001616
468,0.268,0.000162
469,0.269,0.0001623
470,0.27,0.0001626
471,0.271,0.0001628
472,0.272,0.0001631
473,0.273,0.0001633
474,0.274,0.0001635
475,0.275,0.0001637
476,0.276,0.0001638
477,0.277,0.0001639
478,0.278,0.000164
479,0.279,0.000164
480,0.28,0.000164
481,0.281,0.000164
482,0.282,0.000164
483,0.283,0.000164
484,0.284,0.0001639
485,0.285,0.0001638
486,0.286,0.0001637
487,0.287,0.0001635
488,0.288,0.0001634
489,0.289,0.0001632
490,0.29,0.000163
491,0.291,0.0001628
492,0.292,0.0001626
493,0.293,0.0001623
494,0.294,0.0001621
495,0.295,0.0001618
496,0.296,0.0001615
497,0.297,0.0001612
498,0.298,0.0001608
499,0.299,0.0001605
500,0.3,0.0001601
501,0.301,0.0001597
502,0.302,0.0001594
503,0.303,0.000159
504,0.304,0.0001586
505,0.305,0.0001582
506,0.306,0.0001577
507,0.307,0.0001573
508,0.308,0.0001569
509,0.309,0.0001564
510,0.31,0.000156
511,0.311,0.0001555
512,0.312,0.000155
513,0.313,0.0001545
514,0.314,0.0001541
515,0.315,0.0001536
516,0.316,0.0001531
517,0.317,0.0001526
518,0.318,0.0001521
519,0.319,0.0001515
520,0.32,0.000151
521,0.321,0.0001505
522,0.322,0.00015
523,0.323,0.0001494
524,0.324,0.0001489
525,0.325,0.0001484
526,0.326,0.0001479
527,0.327,0.0001473
528,0.328,0.0001468
529,0.329,0.0001463
530,0.33,0.0001457
531,0.331,0.0001452
532,0.332,0.0001446
533,0.333,0.0001441
534,0.334,0.0001436
535,0.335,0.000143
536,0.336,0.0001425
537,0.337,0.0001419
538,0.338,0.0001414
539,0.339,0.0001408
540,0.34,0.0001403
541,0.341,0.0001397
542,0.342,0.0001392
543,0.343,0.0001387
544,0.344,0.0001381
545,0.345,0.0001376
546,0.346,0.0001371
547,0.347,0.0001366
548,0.348,0.000136
549,0.349,0.0001355
550,0.35,0.000135
551,0.351,0.0001345
552,0.352,0.000134
553,0.353,0.0001334
554,0.354,0.0001329
555,0.355,0.0001324
556,0.356,0.0001319
557,0.357,0.0001314
558,0.358,0.0001309
559,0.359,0.0001303
560,0.36,0.0001299
561,0.361,0.0001294
562,0.362,0.0001289
563,0.363,0.0001284
564,0.364,0.0001279
565,0.365,0.0001273
566,0.366,0.0001268
567,0.367,0.0001264
568,0.368,0.0001259
569,0.369,0.0001254
570,0.37,0.0001249
571,0.371,0.0001245
572,0.372,0.000124
573,0.373,0.0001235
574,0.374,0.0001231
575,0.375,0.0001226
576,0.376,0.0001222
577,0.377,0.0001217
578,0.378,0.0001213
579,0.379,0.0001208
580,0.38,0.0001204
581,0.381,0.00012
582,0.382,0.0001195
583,0.383,0.0001191
584,0.384,0.0001187
585,0.385,0.0001183
586,0.386,0.0001179
587,0.387,0.0001174
588,0.388,0.000117
589,0.389,0.0001166
590,0.39,0.0001162
591,0.391,0.0001158
592,0.392,0.0001154
593,0.393,0.000115
594,0.394,0.0001146
595,0.395,0.0001142
596,0.396,0.0001138
597,0.397,0.0001134
598,0.398,0.000113
599,0.399,0.0001127
600,0.4,0.0001123
601,0.401,0.0001119
602,0.402,0.0001115
603,0.403,0.0001111
604,0.404,0.0001108
605,0.405,0.0001104
606,0.406,0.0001101
607,0.407,0.0001097
608,0.408,0.0001093
609,0.409,0.0001089
610,0.41,0.0001086
611,0.411,0.0001082
612,0.412,0.0001079
613,0.413,0.0001076
614,0.414,0.0001072
615,0.415,0.0001069
616,0.416,0.0001065
617,0.417,0.0001062
618,0.418,0.0001059
619,0.419,0.0001056
620,0.42,0.0001052
621,0.421,0.0001049
622,0.422,0.0001046
623,0.423,0.0001043
624,0.424,0.000104
625,0.425,0.0001036
626,0.426,0.0001033
627,0.427,0.000103
628,0.428,0.0001027
629,0.429,0.0001024
630,0.43,0.0001021
631,0.431,0.0001018
632,0.432,0.0001015
633,0.433,0.0001012
634,0.434,0.0001009
635,0.435,0.0001006
636,0.436,0.0001003
637,0.437,0.0001
638,0.438,9.973e-05
639,0.439,9.944e-05
640,0.44,9.916e-05
641,0.441,9.889e-05
642,0.442,9.862e-05
643,0.443,9.836e-05
644,0.444,9.809e-05
645,0.445,9.781e-05
646,0.446,9.754e-05
647,0.447,9.726e-05
648,0.448,9.698e-05
649,0.449,9.67e-05
650,0.45,9.642e-05
651,0.451,9.616e-05
652,0.452,9.591e-05
653,0.453,9.567e-05
654,0.454,9.542e-05
655,0.455,9.517e-05
656,0.456,9.492e-05
657,0.457,9.467e-05
658,0.458,9.441e-05
659,0.459,9.415e-05
660,0.46,9.39e-05
661,0.461,9.365e-05
662,0.462,9.341e-05
663,0.463,9.317e-05
664,0.464,9.293e-05
665,0.465,9.27e-05
666,0.466,9.246e-05
667,0.467,9.223e-05
668,0.468,9.198e-05
669,0.469,9.172e-05
670,0.47,9.148e-05
671,0.471,9.125e-05
672,0.472,9.104e-05
673,0.473,9.083e-05
674,0.474,9.06e-05
675,0.475,9.038e-05
676,0.476,9.015e-05
677,0.477,8.993e-05
678,0.478,8.972e-05
679,0.479,8.95e-05
680,0.48,8.928e-05
681,0.481,8.905e-05
682,0.482,8.883e-05
683,0.483,8.862e-05
684,0.484,8.842e-05
685,0.485,8.821e-05
686,0.486,8.8e-05
687,0.487,8.779e-05
688,0.488,8.758e-05
689,0.489,8.738e-05
690,0.49,8.717e-05
691,0.491,8.696e-05
692,0.492,8.675e-05
693,0.493,8.654e-05
694,0.494,8.634e-05
695,0.495,8.616e-05
696,0.496,8.598e-05
697,0.497,8.579e-05
698,0.498,8.56e-05
699,0.499,8.54e-05
700,0.5,8.522e-05
701,0.501,8.508e-05
702,0.502,8.496e-05
703,0.503,8.484e-05
704,0.504,8.471e-05
705,0.505,8.455e-05
706,0.506,8.436e-05
707,0.507,8.416e-05
708,0.508,8.396e-05
709,0.509,8.378e-05
710,0.51,8.36e-05
711,0.511,8.341e-05
712,0.512,8.322e-05
713,0.513,8.304e-05
714,0.514,8.285e-05
715,0.515,8.265e-05
716,0.516,8.244e-05
717,0.517,8.221e-05
718,0.518,8.198e-05
719,0.519,8.176e-05
720,0.52,8.157e-05
721,0.521,8.141e-05
722,0.522,8.125e-05
723,0.523,8.109e-05
724,0.524,8.093e-05
725,0.525,8.077e-05
726,0.526,8.059e-05
727,0.527,8.042e-05
728,0.528,8.025e-05
729,0.529,8.01e-05
730,0.53,7.995e-05
731,0.531,7.981e-05
732,0.532,7.966e-05
733,0.533,7.951e-05
734,0.534,7.936e-05
735,0.535,7.921e-05
736,0.536,7.907e-05
737,0.537,7.894e-05
738,0.538,7.881e-05
739,0.539,7.868e-05
740,0.54,7.854e-05
741,0.541,7.84e-05
742,0.542,7.826e-05
743,0.543,7.811e-05
744,0.544,7.796e-05
745,0.545,7.782e-05
746,0.546,7.768e-05
747,0.547,7.755e-05
748,0.548,7.741e-05
749,0.549,7.726e-05
750,0.55,7.709e-05
751,0.551,7.693e-05
752,0.552,7.678e-05
753,0.553,7.666e-05
754,0.554,7.655e-05
755,0.555,7.645e-05
756,0.556,7.635e-05
757,0.557,7.622e-05
758,0.558,7.61e-05
759,0.559,7.596e-05
760,0.56,7.582e-05
761,0.561,7.569e-05
762,0.562,7.556e-05
763,0.563,7.545e-05
764,0.564,7.534e-05
765,0.565,7.525e-05
766,0.566,7.515e-05
767,0.567,7.504e-05
768,0.568,7.491e-05
769,0.569,7.478e-05
770,0.57,7.464e-05
771,0.571,7.45e-05
772,0.572,7.437e-05
773,0.573,7.424e-05
774,0.574,7.412e-05
775,0.575,7.401e-05
776,0.576,7.389e-05
777,0.577,7.376e-05
778,0.578,7.361e-05
779,0.579,7.345e-05
780,0.58,7.327e-05
781,0.581,7.311e-05
782,0.582,7.298e-05
783,0.583,7.286e-05
784,0.584,7.275e-05
785,0.585,7.263e-05
786,0.586,7.25e-05
787,0.587,7.237e-05
788,0.588,7.222e-05
789,0.589,7.208e-05
790,0.59,7.195e-05
791,0.591,7.183e-05
792,0.592,7.172e-05
793,0.593,7.163e-05
794,0.594,7.153e-05
795,0.595,7.143e-05
796,0.596,7.132e-05
797,0.597,7.12e-05
798,0.598,7.109e-05
799,0.599,7.099e-05
800,0.6,7.088e-05
801,0.601,7.077e-05
802,0.602,7.066e-05
803,0.603,7.055e-05
804,0.604,7.044e-05
805,0.605,7.033e-05
806,0.606,7.023e-05
807,0.607,7.013e-05
808,0.608,7.002e-05
809,0.609,6.991e-05
810,0.61,6.98e-05
811,0.611,6.968e-05
812,0.612,6.958e-05
813,0.613,6.948e-05
814,0.614,6.94e-05
815,0.615,6.933e-05
816,0.616,6.924e-05
817,0.617,6.914e-05
818,0.618,6.904e-05
819,0.619,6.895e-05
820,0.62,6.885e-05
821,0.621,6.876e-05
822,0.622,6.866e-05
823,0.623,6.856e-05
824,0.624,6.846e-05
825,0.625,6.837e-05
826,0.626,6.828e-05
827,0.627,6.819e-05
828,0.628,6.809e-05
829,0.629,6.8e-05
830,0.63,6.791e-05
831,0.631,6.782e-05
832,0.632,6.773e-05
833,0.633,6.764e-05
834,0.634,6.754e-05
835,0.635,6.743e-05
836,0.636,6.733e-05
837,0.637,6.723e-05
838,0.638,6.714e-05
839,0.639,6.705e-05
840,0.64,6.697e-05
841,0.641,6.689e-05
842,0.642,6.682e-05
843,0.643,6.675e-05
844,0.644,6.669e-05
845,0.645,6.662e-05
846,0.646,6.654e-05
847,0.647,6.646e-05
848,0.648,6.637e-05
849,0.649,6.629e-05
850,0.65,6.621e-05
851,0.651,6.613e-05
852,0.652,6.605e-05
853,0.653,6.597e-05
854,0.654,6.589e-05
855,0.655,6.581e-05
856,0.656,6.573e-05
857,0.657,6.565e-05
858,0.658,6.558e-05
859,0.659,6.55e-05
860,0.66,6.543e-05
861,0.661,6.536e-05
862,0.662,6.528e-05
863,0.663,6.52e-05
864,0.664,6.512e-05
865,0.665,6.504e-05
866,0.666,6.496e-05
867,0.667,6.488e-05
868,0.668,6.48e-05
869,0.669,6.472e-05
870,0.67,6.464e-05
871,0.671,6.458e-05
872,0.672,6.451e-05
873,0.673,6.445e-05
